Creative_Type	Director	Distributor	IMDB_Rating	IMDB_Votes	MPAA_Rating	Major_Genre	Production_Budget	Release_Date	Rotten_Tomatoes_Rating	Running_Time_min	Source	Title	US_DVD_Sales	US_Gross	Worldwide_Gross
NUUUU	NUUUU	Gramercy	6.1	1071	R	NUUUU	8000000	12-Jun-98	NUUUU	NUUUU	NUUUU	The Land Girls	NUUUU	146083	146083
NUUUU	NUUUU	Strand	6.9	207	R	Drama	300000	7-Aug-98	NUUUU	NUUUU	NUUUU	First Love, Last Rites	NUUUU	10876	10876
NUUUU	NUUUU	Lionsgate	6.8	865	NUUUU	Comedy	250000	28-Aug-98	NUUUU	NUUUU	NUUUU	I Married a Strange Person	NUUUU	203134	203134
NUUUU	NUUUU	Fine Line	NUUUU	NUUUU	NUUUU	Comedy	300000	11-Sep-98	13	NUUUU	NUUUU	Let's Talk About Sex	NUUUU	373615	373615
Contemporary Fiction	NUUUU	Trimark	3.4	165	R	Drama	1000000	9-Oct-98	62	NUUUU	Original Screenplay	Slam	NUUUU	1009819	1087521
NUUUU	NUUUU	MGM	NUUUU	NUUUU	NUUUU	NUUUU	1600000	15-Jan-99	NUUUU	NUUUU	NUUUU	Mississippi Mermaid	NUUUU	24551	2624551
NUUUU	Christopher Nolan	Zeitgeist	7.7	15133	R	NUUUU	6000	4-Apr-99	NUUUU	NUUUU	NUUUU	Following	NUUUU	44705	44705
Contemporary Fiction	NUUUU	Artisan	3.8	353	R	Comedy	1600000	9-Apr-99	NUUUU	NUUUU	Original Screenplay	Foolish	NUUUU	6026908	6026908
NUUUU	Roman Polanski	NUUUU	5.8	3275	R	NUUUU	40000000	1-Jul-86	25	NUUUU	NUUUU	Pirates	NUUUU	1641825	6341825
NUUUU	NUUUU	NUUUU	7.0	2906	NUUUU	NUUUU	6000000	31-Dec-46	86	NUUUU	NUUUU	Duel in the Sun	NUUUU	20400000	20400000
NUUUU	NUUUU	NUUUU	7.0	4035	NUUUU	NUUUU	1000000	7-Oct-63	81	NUUUU	NUUUU	Tom Jones	NUUUU	37600000	37600000
NUUUU	NUUUU	Sony Pictures	7.5	9111	NUUUU	Musical	10000000	11-Dec-68	84	NUUUU	NUUUU	Oliver!	NUUUU	37402877	37402877
NUUUU	NUUUU	Universal	8.4	82786	NUUUU	NUUUU	2000000	25-Dec-62	97	NUUUU	NUUUU	To Kill A Mockingbird	NUUUU	13129846	13129846
NUUUU	Richard Fleischer	NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	25000000	23-Sep-70	NUUUU	NUUUU	NUUUU	Tora, Tora, Tora	NUUUU	29548291	29548291
NUUUU	NUUUU	NUUUU	6.8	1532	NUUUU	NUUUU	100000	1-Mar-87	87	NUUUU	NUUUU	Hollywood Shuffle	NUUUU	5228617	5228617
NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	100000	17-Sep-20	NUUUU	NUUUU	NUUUU	Over the Hill to the Poorhouse	NUUUU	3000000	3000000
NUUUU	NUUUU	NUUUU	7.0	451	NUUUU	NUUUU	5200000	1-Aug-44	NUUUU	NUUUU	NUUUU	Wilson	NUUUU	2000000	2000000
NUUUU	Blake Edwards	NUUUU	6.1	858	NUUUU	NUUUU	22000000	1-Jan-70	NUUUU	NUUUU	NUUUU	Darling Lili	NUUUU	5000000	5000000
